time,event
3212.243525284,lick
3219.211187742,lick
3219.344347407,lick
3219.710666485,lick
3220.511424469,lick
3224.044695574,lick
3224.211415154,lick
3230.546079206,lick
3230.679038871,lick
3230.946118199,lick
3231.179037612,lick
3231.312437276,lick
3231.44627694,lick
3231.579516604,lick
3231.712476269,lick
3232.012475514,lick
3235.980145525,lick
3237.913340658,lick
3238.080060238,lick
3241.214332348,lick
3241.382571924,lick
3245.414401774,lick
3245.581321353,lick
3249.782510777,lick
3249.915590441,lick
3254.349419279,lick
3254.51577886,lick
3259.049687446,lick
3259.18312711,lick
3270.584978405,lick
3271.018017314,lick
3271.118057063,lick
3271.284776643,lick
3271.418656306,lick
3271.584975887,lick
3271.852015215,lick
3272.91837253,lick
